,joined,kind,link,location,market,name,pitch,raised,size,stage,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
652,2015-11-01,Startup,https://angel.co/company/cleancloud,Santiago,B2B,CleanCloud,"
Manage & Optimize your Cloud
",30000,1-10,Seed,cleancloud.io,4.123287671232877,7275.747508305648,0,0,5.0
653,2011-06-01,Startup,https://angel.co/company/cleanedison,New York City,E-Commerce Platforms,CleanEdison,"
Vocational School as a Service
",600000,11-50,Acquired,CleanEdison.com,8.545205479452054,70214.81243988458,0,0,25.0
654,2014-05-01,Startup,https://angel.co/company/cleanly,Tel Aviv-Yafo,Logistics,Cleanly,"
Laundry & Dry Cleaning Delivered 
",7300000,51-200,Series A,cleanly.com,5.627397260273972,1297224.9269717624,1,0,125.0
655,2015-01-01,Startup,https://angel.co/company/cleargraph,Palo Alto,Cloud Data Services,ClearGraph,"
Organizing enterprise data to make it searchable and actionable
",3100000,11-50,Seed,cleargraph.io,4.956164383561644,625483.6926478717,1,0,25.0
656,2015-01-01,Startup,https://angel.co/company/clearvoice,Phoenix,Content Creators,ClearVoice,"
Talent network and content production workflow platform for brands
",1250000,11-50,Acquired,clearvoice.com,4.956164383561644,252211.16639027087,0,0,25.0
657,2011-09-01,Startup,https://angel.co/company/clearfit,Toronto,Human Resources,Clearfit,"
Predictive Analytics for People
",8700000,11-50,Series A,clearfit.com,8.293150684931506,1049058.4737363728,1,0,25.0
658,2013-07-01,Startup,https://angel.co/company/clect-collect-together,San Francisco,Collectibles,Clect - Collect Together,"
A social marketplace for collectors 
",225000,1-10,Acquired,clect.com,6.46027397260274,34828.24427480916,0,0,5.0
659,2013-10-01,Startup,https://angel.co/company/cleeng,Amsterdam,Video Streaming,Cleeng,"
Instant Access to Premium Content - Pay-per-view and video-on-demand PPV/VOD
",1238000,1-10,Series A,cleeng.com,6.208219178082191,199413.06266548985,0,0,5.0
660,2013-02-01,Startup,https://angel.co/company/clef,Oakland,Identity Management,Clef,"
We're building the future of identity online.
",1600000,1-10,Acquired,getclef.com,6.8712328767123285,232854.8644338118,0,0,5.0
661,2012-08-01,Startup,https://angel.co/company/clever,San Francisco,Application Platforms,Clever,"
Online Learning Platform Used in Over 70,000 Schools
",43320000,51-200,Series B,clever.com,7.375342465753425,5873625.557206538,1,1,125.0
662,2013-07-01,Startup,https://angel.co/company/clevertap,Sunnyvale,Mobile Analytics,CleverTap,"
The Intelligent Mobile Marketing Platform 
",41600000,51-200,Series B,clevertap.com,6.46027397260274,6439355.385920271,1,1,125.0
663,2013-09-01,Startup,https://angel.co/company/cleverbug-3,Palo Alto,Personalization,Cleverbug,"
Helping people remember & celebrate special occasions
",8500000,1-10,Series A,cleverbug.com,6.2904109589041095,1351263.0662020906,1,0,5.0
664,2014-03-01,Startup,https://angel.co/company/click-and-study,Singapore,Language Learning,Click and Study,"
Duolingo meets video
",460000,11-50,Seed,clickandstudy.com,5.794520547945205,79385.34278959811,0,0,25.0
665,2012-03-01,Startup,https://angel.co/company/clickcare,Binghamton,mHealth,ClickCare,"
Simple, secure, spectacular hybrid store and forward telemedicine
",500000,1-10,Seed,clickcare.com,7.794520547945205,64147.62741652021,0,0,5.0
666,2014-02-01,Startup,https://angel.co/company/clicky-2,Miami,Fitness,Clickypass,"
Clickypass is a membership program for fitness classes and activities. 
",125000,11-50,Seed,clickpass.com,5.8712328767123285,21290.247316845544,0,0,25.0
667,2013-09-01,Startup,https://angel.co/company/clinata,Dallas,Medical Devices,Clinata,"
World's Largest Marketplace for Clinical Research
",100000,1-10,Seed,signup.clinata.com,6.2904109589041095,15897.212543554007,0,0,5.0
668,2014-03-01,Startup,https://angel.co/company/clipmine,Palo Alto,Video,ClipMine,"
deep video indexing
",1500000,1-10,Acquired,clipmineinc.com,5.794520547945205,258865.24822695038,0,0,5.0
669,2013-12-01,Startup,https://angel.co/company/clippings,Sofia,Home & Garden,Clippings.com,"
Revolutionising the furniture industry
",27117000,51-200,Series B,clippings.com,6.041095890410959,4488755.102040816,1,1,125.0
670,2012-03-01,Startup,https://angel.co/company/clipstar,Toronto,Mobile Advertising,Clipstar,"
Mobile video compression - lowers any hd video by x10 in size without loss of quality
",655000,1-10,Seed,clipstar.me,7.794520547945205,84033.39191564148,0,0,5.0
671,2013-10-01,Startup,https://angel.co/company/cloud4wi,San Francisco,,Cloud4Wi,"
Cloud4Wi offers an AI-driven application suite for location services.
",15500000,51-200,Series B,cloud4wi.com,6.208219178082191,2496690.2030008826,1,1,125.0
672,2014-02-01,Startup,https://angel.co/company/cloudambo,Boston,Cloud Computing,CloudAmbo®,"
A leading social marketplace for latest deals, coupons, best buys & more...
",50000,1-10,,CloudAmbo.com,5.8712328767123285,8516.098926738217,0,0,5.0
673,2013-03-01,Startup,https://angel.co/company/cloudbeds,San Diego,B2B,CloudBeds,"
smart operating system for hotels
",13600000,11-50,Series B,cloudbeds.com,6.794520547945205,2001612.9032258065,1,1,25.0
674,2012-01-01,Startup,https://angel.co/company/cloudbees,Boston,PaaS,CloudBees,"
The Java PaaS company.
",49200000,51-200,Series D,cloudbees.com,7.958904109589041,6181755.593803787,1,1,125.0
675,2013-10-01,Startup,https://angel.co/company/clouddock,Dublin,File Sharing,CloudDock,"
Making Cloud Storage Services Compatible
",145000,1-10,,clouddock.co,6.208219178082191,23356.134157105033,0,0,5.0
676,2013-03-01,Startup,https://angel.co/company/cloudhealth-technologies,Boston,Cloud Management,CloudHealth Technologies,"
Policy Driven Cloud Management
",85700000,11-50,Series D,cloudhealthtech.com,6.794520547945205,12613104.838709679,1,1,25.0
677,2014-02-01,Startup,https://angel.co/company/cloudhelix,San Francisco,Networking,CloudHelix,"
Network visibility and control 
",3100000,1-10,-,cloudhelix.com,5.8712328767123285,527998.1334577695,1,0,5.0
678,2017-12-01,Startup,https://angel.co/company/cloudlock,Waltham,Enterprise Security,CloudLock,"
The leading information security suite for enterprises using cloud platforms.
",327900000,-,,cloudlock.com,2.0383561643835617,160864919.3548387,1,1,
679,2011-07-01,Startup,https://angel.co/company/cloudprime-quickdrop,San Francisco,Data Security,CloudPrime QuickDrop™,"
Endpoint Encryption for private delivery of files & application messages.
",2000000,11-50,Series B,quickdropit.com,8.463013698630137,236322.43444480415,0,0,25.0
680,2012-12-01,Startup,https://angel.co/company/cloudsightai,Los Angeles,Mobile Commerce,CloudSight,"
CloudSight's mission is to make AI see.
",8000000,11-50,,cloudsight.ai,7.041095890410959,1136186.7704280156,1,0,25.0
681,2013-02-01,Startup,https://angel.co/company/cloudsway,Tacoma,Small and Medium Businesses,CloudSway,"
Synchronized Workflow
",3550000,1-10,-,cloudsway.com,6.8712328767123285,516646.73046252,1,0,5.0
682,2013-06-01,Startup,https://angel.co/company/cloudtags,Atlanta,Location Based Services,CloudTags,"
Creators of the Connected Store
",3990000,11-50,,CloudTags.com,6.542465753424658,609861.8090452261,1,0,25.0
683,2011-09-01,Startup,https://angel.co/company/cloudability,Boulder,Cloud Management,Cloudability,"
Financial and operational excellence with Cloudability's True CostTM cloud platform
",33800000,51-200,Acquired,cloudability.com,8.293150684931506,4075652.4611826898,1,1,125.0
684,2014-01-01,Startup,https://angel.co/company/cloudcade,San Francisco,Mobile Games,Cloudcade,"
Tablet-First Mobile Games Developer & Publisher
",3050000,11-50,Seed,cloudcade.com,5.956164383561644,512074.51701931923,1,0,25.0
685,2012-08-01,Startup,https://angel.co/company/cloudflare,San Francisco,Cloud Computing,Cloudflare,"
Cloudflare's mission is to help build a better Internet.
",182050000,201-500,,cloudflare.com,7.375342465753425,24683599.55423477,1,1,350.0
686,2013-10-01,Startup,https://angel.co/company/cloudike,San Francisco,SaaS,Cloudike,"
Dropbox for Mobile Carriers & ISPs
",950000,11-50,Series A,cloudike.com,6.208219178082191,153022.94792586056,0,0,25.0
687,2013-04-01,Startup,https://angel.co/company/clue,Berlin,Tracking,Clue,"
Digital female health
",31159300,51-200,Series B,helloclue.com,6.7095890410958905,4643995.304205799,1,1,125.0
688,2013-10-01,Startup,https://angel.co/company/cluey,Dublin,Hospitality,Cluey,"
Award winning pos, with a built in marketing and loyalty system, for bars and restaurants
",1000000,1-10,Seed,Cluey.com,6.208219178082191,161076.78729037952,0,0,5.0
689,2013-06-01,Startup,https://angel.co/company/cluster,San Francisco,Photo Sharing,Cluster,"
Private spaces for you and your friends.
",1600000,1-10,Seed,getcluster.com,6.542465753424658,244556.11390284757,0,0,5.0
690,2013-08-01,Startup,https://angel.co/company/clutter,San Francisco,Technology,Clutter,"
To make your life more convenient, so you can experience more of what you love.
",96300000,501-1000,Series C,clutter.com,6.375342465753425,15105070.906746883,1,1,750.0
691,2015-04-01,Startup,https://angel.co/company/cnverg,Austin,Developer Tools,Cnverg,"
Visual Planning + Strategy for Product Development Teams
",538600,1-10,Closed,cnverg.com,4.7095890410958905,114362.42001163468,0,0,5.0
692,2013-10-01,Startup,https://angel.co/company/coalign,San Francisco,Medical Devices,CoAlign,"
Expandable lumbar interbody fusion technology
",120000000,1-10,Acquired,coalign.com,6.208219178082191,19329214.474845544,1,1,5.0
693,2010-11-01,Startup,https://angel.co/company/copromote,New York City,Mobile Advertising,CoPromote,"
Content Amplification made easy.
",6540000,11-50,Series A,copromote.com,9.126027397260273,716631.6421495047,1,0,25.0
694,2012-02-01,Startup,https://angel.co/company/coachup,Boston,Training,CoachUp,"
America's Leading Sports Coaching Company
",9400000,11-50,Series A,coachup.com,7.873972602739726,1193806.5414057064,1,0,25.0
695,2012-01-01,Startup,https://angel.co/company/cobook,-,Small and Medium Businesses,Cobook,"
The unified address book
",500000,1-10,Seed,cobook.co,7.958904109589041,62822.71944922547,0,0,5.0
696,2016-05-01,Startup,https://angel.co/company/cocoon-1,Santa Barbara,Data Security,Cocoon My Data Rewards,"
Data Company- helping individuals selling their data. 
",1450000,1-10,Seed,getcocoon.com,3.6246575342465754,400037.79289493576,0,0,5.0
697,2013-02-01,Startup,https://angel.co/company/coda-payments,Singapore,Mobile Payments,Coda Payments,"
",5200000,11-50,,codapay.com,6.8712328767123285,756778.3094098883,1,0,25.0
698,2012-06-01,Startup,https://angel.co/company/code-school,Orlando,Technical Continuing Education,Code School,"
Learn by doing
",36000000,11-50,Acquired,codeschool.com,7.542465753424658,4772974.936432982,1,1,25.0
699,2014-06-01,Startup,https://angel.co/company/codecombat,San Francisco,K-12 Education,CodeCombat,"
Teach kids computer science via coding game
",8295000,11-50,Series A,codecombat.com,5.542465753424658,1496626.2975778547,1,0,25.0
700,2013-08-01,Startup,https://angel.co/company/codehs,San Francisco,K-12 Education,CodeHS,"
Comprehensive platform for coding in schools
",2400000,11-50,Seed,codehs.com,6.375342465753425,376450.3652771809,1,0,25.0
701,2011-07-01,Startup,https://angel.co/company/codengo,San Francisco,Mobile Games,CodeNgo,"
Hootesuite for App Marketers
",140000,1-10,Seed,codengo.com,8.463013698630137,16542.57041113629,0,0,5.0
702,2013-06-01,Startup,https://angel.co/company/codeity,Santa Monica,Social Recruiting,Codeity (Acquired by AngelHack 2015),"
Talent Sourcing and Matching Platform
",500000,1-10,Seed,codeity.com,6.542465753424658,76423.78559463986,0,0,5.0
703,2016-01-01,Startup,https://angel.co/company/coffee-cloud,London,Usa,Coffee Cloud,"
Coffee Cloud produce an IoT/cloud-based software for management of coffee machines
",155572050,1-10,Seed,coffeecloud.co,3.956164383561644,39323960.0069252,1,1,5.0
704,2015-08-01,Startup,https://angel.co/company/cognifit,New York City,Pharmaceuticals,CogniFit,"
CogniFit is a leading developer of online brain training and brain fitness solutions
",5000000,1-10,Series A,cognifit.com,4.375342465753425,1142767.689417658,1,0,5.0
705,2013-07-01,Startup,https://angel.co/company/cognilab-technologies,Vancouver,Crowdsourcing,Cognilab Technologies,"
Online laboratory for creating experiments, recruiting participants and analyzing results
",225000,1-10,Seed,cognilab.com,6.46027397260274,34828.24427480916,0,0,5.0
706,2013-06-01,Startup,https://angel.co/company/cognitive-code,Los Angeles,Artificial Intelligence,Cognitive Code,"
Conversational AI technology
",500000,1-10,Seed,CognitiveCode.com,6.542465753424658,76423.78559463986,0,0,5.0
707,2014-02-01,Startup,https://angel.co/company/cognitive-medical-systems,San Diego,Defense,Cognitive Medical Systems,"
Real-time clinical decision support
",610000,11-50,,cognitivemedicine.com,5.8712328767123285,103896.40690620626,0,0,25.0
708,2011-11-01,Startup,https://angel.co/company/cohealo,Boston,Logistics,Cohealo,"
Medical Equipment Sharing & Logistics
",12100000,11-50,,cohealo.com,8.126027397260273,1489042.4814565072,1,1,25.0
